;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;Ensemble
D30-01;30406;14378;9214;5810;5151;1614;1460;57;233;260;514;250;410;745;486;1783;46;191;880;3522;1949;0;0;1296;0;0;80653
D30-02;15180;18867;3377;6254;6448;735;1135;53;28;373;276;176;607;679;622;2611;274;300;802;1823;1247;0;64;438;0;0;62371
D30-03;8954;3308;12348;3739;3511;2645;2766;0;31;135;49;0;124;1004;309;292;83;120;566;3463;3805;0;0;415;0;0;47669
D30-04;5644;5886;3290;15892;1756;602;410;0;37;129;0;121;348;416;237;3091;170;374;1858;2382;703;0;0;143;0;0;43490
D30-05;4845;5776;2857;2031;9188;605;1160;0;370;125;165;515;840;399;1394;2057;67;96;257;747;579;0;0;248;0;0;34320
D30-06;1439;646;2289;858;703;2098;45;0;0;0;0;0;66;129;100;21;0;89;64;1133;839;0;0;94;0;0;10610
D30-07;1841;1421;2682;559;1295;120;5608;0;0;88;26;0;56;386;74;0;0;62;0;590;603;0;0;127;0;0;15539
D30-08;108;53;0;0;123;0;0;4291;2539;721;1109;579;0;52;0;38;0;0;0;0;0;0;0;602;0;0;10213
D30-09;142;0;0;37;218;0;0;2274;11838;2963;1824;220;0;323;0;0;0;0;0;0;0;0;0;53;0;0;19892
D30-10;225;320;249;87;143;0;25;597;3164;14516;9542;1608;471;1076;158;0;44;0;42;93;0;0;0;84;0;0;32443
D30-11;322;197;49;88;208;0;50;1000;1964;9236;17108;1172;677;1841;308;81;0;0;0;0;36;0;0;0;0;0;34337
D30-12;262;292;0;323;574;0;0;579;220;1643;1511;7830;906;0;118;253;201;122;0;59;0;0;186;60;0;0;15137
D30-13;571;724;168;472;661;66;56;33;0;466;727;641;3440;237;1090;277;233;203;0;0;51;0;52;110;0;0;10279
D30-14;1110;922;1428;455;517;85;648;102;460;1305;2057;0;237;21533;47;0;0;0;48;230;1448;0;0;39;0;0;32669
D30-15;532;682;309;481;1729;100;74;0;0;134;535;219;1014;126;3712;1389;247;710;53;0;51;0;0;92;0;178;12368
D30-16;2129;3618;594;3514;2214;0;0;38;0;0;81;253;407;81;968;5350;0;963;1103;145;129;0;0;279;0;0;21867
D30-17;127;318;0;80;108;0;0;0;0;44;62;398;279;0;191;0;2806;592;0;0;0;0;563;352;0;0;5919
D30-18;224;336;160;736;348;89;62;0;0;0;0;0;154;0;921;1299;361;20254;633;54;0;0;0;1547;0;0;27180
D30-19;1190;1042;715;2071;410;64;0;0;0;42;0;0;0;0;0;736;0;581;21201;216;86;329;0;2229;0;0;30909
D30-20;4746;2229;3913;3188;910;1304;717;0;0;93;0;0;0;299;0;193;0;54;438;18611;1003;0;0;3661;0;85;41444
D30-21;2235;1122;3889;837;724;806;779;0;0;42;36;0;51;1468;125;209;0;0;86;1098;17642;0;0;1197;0;0;32346
D30-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362;0;0;0;0;0;0;0;362
D30-EXT1;0;0;0;0;0;0;0;0;0;0;0;129;0;0;0;0;347;0;0;0;0;0;0;0;0;0;476
D30-EXT2;947;679;474;236;201;94;71;470;163;155;0;60;110;44;176;210;326;1183;2004;3094;1166;0;0;0;0;0;11863
D30-EXT3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;0;143;0;0;0;0;0;0;266
Ensemble;83180;62818;48004;47748;37141;11025;15066;9494;21046;32471;35620;14170;10197;30839;11158;19891;5205;25894;30397;37403;31338;329;864;13063;0;264;634622
;;;;;;;;;;;;;;;;;;;;;;;;;;;
